Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
04/2015,,67971,,3.37,,
05/2015,,64127,,0.20,,
06/2015,,66008,,0.02,,
07/2015,,66964,,0.06,,
08/2015,,67232,,0.00,,
09/2015,,66008,,0.12,,
10/2015,,66744,,0.36,,
11/2015,,64280,,3.71,,
12/2015,,65363,,4.51,,
01/2016,,--,,--,,
